Username,FirstName,LastName,EmailAddress,Phone,City,Province,Country,Gender,Age,Status in Canada,Marital Status,Country of birth,Country you have_will immigrate from,Year landed in Canada enter 0 if not yet landed,Highest level of education,Cohort Name,Program Version,What is your current employment status,What industry or sector are you working in,Is this your preferred industry or sector,What is your current annual employment salary,Genre,Âge,Statut au Canada,Situation maritale,Pays de naissance,Pays doù vous avez immigré immigrerez,Année darrivée au Canada saisir 0 si non applicable,Principale langue parlée à la maison,Plus haut niveau de formation,Quelle est votre situation professionnelle actuelle,Dans quelle industrie ou secteur travaillez vous,Est ce votre industrie ou secteur de prédilection,Quel est votre salaire annuel actuel,Organization,DateAdded
capstonepipelinerunfrench@northeastern.edu,Carolina,Castillo,capstonepipelinerunfrench@northeastern.edu,2369715690,Burnaby,British Columbia,Canada,,,,,,,,,SDECB Jan-Mar 2024,French,,,,,Femme,30-39,Résident.e permanent.e (au Canada),,Equateur,Equateur,2023,,Maîtrise,Sans emploi,20) Administration publique,Oui,Je suis actuellement sans emploi,Le Relais Francophone,2024-01-23 1:22
capstonepipelinerun@northeastern.edu,Gyeonghui,Seong,capstonepipelinerun@northeastern.edu,2368381714,Victoria,British Columbia,Canada,Female,50-59,Permanent Resident (In Canada),Separated/divorced,Korea,Korea,2021,Degree,"VIRCS Feb - Apr, 2024",Online,5) Unemployed,01) I am not currently employed,2) No,1) I am not currently employed,,,,,,,,,,,,,,,2024-02-05 17:31
capstonepipelinerun@ascend.com,ASCEND,Participant,capstonepipelinerun@ascend.com,6046295364,Vancouver,British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22 18:34
capstonepipelinerun@ascend.com,The ASCEND,Team,capstonepipelinerun@ascend.com,999-999-9999,Vancouver,British Columbia,Canada,Prefer not to disclose,Prefer not to disclose,Canadian citizen,Prefer not to disclose,Canada,Canada,0,PhD,"PIACS Mar-May, 2024",Online,6) Other,01) I am not currently employed,2) No,1) I am not currently employed,,,,,,,,,,,,,,,2024-03-21 22:14
capstonepipelinerun@ascend.com,The ASCEND,Team,capstonepipelinerun@ascend.com,6046295364,Vancouver,British Columbia,Canada,Non-binary,20-29,Convention Refugee,Separated/divorced,Canada,Canada,0,Degree,"Skeena (Jan - Apr, 2024)",Blended,1) Employed,"03) Mining, quarrying, and oil and gas extraction",2) No,1) I am not currently employed,,,,,,,,,,,,,,,2024-01-22 19:32
capstonepipelinerun@ascend.com,L’Équipe,ASCEND,capstonepipelinerun@ascend.com,999-999-9999,Vancouver,British Columbia,Canada,,,,,,,,,ASCEND Français Master,French,,,,,Femme,30-39,Résident.e permanent.e (au Canada),Marié.e / En concubinage,France,France,2023,,Baccalauréat,Sans emploi,01) Je suis actuellement sans emploi,Non,Je suis actuellement sans emploi,,2023-09-25 10:37
capstonepipelinerun@ascend.com,L’Équipe,ASCEND,capstonepipelinerun@ascend.com,999-999-9999,Vancouver,British Columbia,Canada,,,,,,,,,ASCEND Français Master,French,,,,,Femme,30-39,Résident.e permanent.e (au Canada),Marié.e / En concubinage,France,France,2023,,Baccalauréat,Sans emploi,01) Je suis actuellement sans emploi,Non,Je suis actuellement sans emploi,,2023-09-20 11:23
capstonepipelinerun@ascend.com,The ASCEND,Team,capstonepipelinerun@ascend.com,2368683326,Delta,British Columbia,Canada,Female,40-49,Convention Refugee,Prefer not to disclose,Canada,Canada,0,Graduate degree,"Black-CAP Jul - Sep, 2023",Online,2) In school or training,"02) Agriculture, forestry, fishing and hunting",1) Yes,1) I am not currently employed,,,,,,,,,,,,,,,2023-07-12 15:21
capstonepipelinerun@ascend.com,The ASCEND,Team,capstonepipelinerun@ascend.com,2368683326,Delta,British Columbia,Canada,Female,20-29,Convention Refugee,Prefer not to disclose,Canada,Canada,0,Degree,"EESE Sep - Nov, 2023",Online,2) In school or training,08) Retail trade,1) Yes,"4) $50,000 - $75,000",,,,,,,,,,,,,,,2023-09-05 14:47
capstonepipelinerun@ascend.com,The ASCEND,Team,capstonepipelinerun@ascend.com,5.83096E+11,Vancouver,British Columbia,Canada,Female,14-19,Permanent Resident (In Canada),Prefer not to disclose,France,France,2023,High school diploma or equivalent,"NPower Sep - Nov, 2023",Online,2) In school or training,"03) Mining, quarrying, and oil and gas extraction",2) No,"3) $25,000 – $50,000",,,,,,,,,,,,,,,2023-09-26 11:43
